, shops shutter,Bike,Motor Bike,Grass,Plant cover,Path and sidewalk,Person in group,Person standing,Person sitting,Water,Trees with columnar shape,Autos,Sky,Palm trees,Sunshade,merge_E_H_N,merge_B_C_D_,Wall_pixels,Enclosure,Walking_index,Human_Scale,Greeness,Imageability
 shops shutter,1.0,0.11917912521235244,-0.09655830763604906,-0.0744191261572972,0.1586922250978979,0.026997018023693264,-0.00685198213331556,0.011781473308797672,-0.06679448233468925,-0.10755382766666169,0.14075069301231952,-0.09979184711923539,-0.18890354840591705,-0.10677982445703363,-0.01210370122977069,-0.09921957924673208,0.04486260593851112,-0.18896601138669433,0.015671115760814192,0.0101509007334706,-0.05547833320510751,0.16888005231029743,0.026716655911303087
Bike,0.11917912521235244,1.0,-0.009263246968777353,-0.0339321875768473,-0.06162273997171158,-0.17068903164598176,0.024979488292971697,0.10368945818295815,-0.028696155369733373,-0.07335104009601587,0.2008605481043841,-0.04326061379412138,-0.13686868886393716,-0.05677788657604931,-0.031168171303938993,-0.06489189622994047,-0.01451557002588784,-0.06913615992514384,0.22448508780269627,0.1244779472821321,-0.023239436466267773,0.17151106435536137,0.11670347397129895
Motor Bike,-0.09655830763604906,-0.009263246968777353,1.0,-0.05683125108512416,-0.14947425551150642,-0.2825703176789148,-0.06598793883207618,0.02014795913344313,-0.01978174230080589,-0.14715740539269676,0.03265861690797527,0.09226154913766493,0.08348910043294537,-0.0972842763165775,-0.07501158799559064,-0.018726459120260056,-0.0359441463091241,0.2342306308182102,0.1324382272143407,0.04611171686529157,-0.05279031552320104,-0.00542711383036553,0.004923869588749378
Grass,-0.0744191261572972,-0.0339321875768473,-0.05683125108512416,1.0,0.08770319815693439,-0.29254445566414666,-0.029767459099734227,-0.06572109390002324,-0.0357057140147482,-0.08515672142950882,-0.08375058008262316,-0.04276951953126725,-0.03758802399415232,-0.07145889598716508,-0.014689138555044659,0.021494300779218926,-0.00908819606281347,0.06369885787778713,0.082348893859514,-0.03813395201617397,-0.03335739588236083,-0.05670000502925455,-0.08254517698341755
Plant cover,0.1586922250978979,-0.06162273997171158,-0.14947425551150642,0.08770319815693439,1.0,0.34248700674912086,-0.17498892775429806,-0.10917064083365564,-0.336181829223494,0.30732132933617395,0.1880245243551791,-0.12323527324740256,-0.1462075102651051,-0.15169295503561048,-0.10333961606903179,-0.2107183359880724,-0.08524665951332952,-0.24404887295377395,-0.09386731853972193,-0.2003360312444258,-0.2306117255166043,0.41321591415525544,0.14083211541113194
Path and sidewalk,0.026997018023693264,-0.17068903164598176,-0.2825703176789148,-0.29254445566414666,0.34248700674912086,1.0,-0.19458116484577592,-0.2088190116404457,-0.4177078798881643,0.048630939139595944,-0.1354364535308604,0.22597068735493842,0.19722621391683354,0.3104142139482571,-0.07838523536327224,-0.15636455335213534,-0.23996940760006857,-0.3616230713878043,-0.4660532033069528,-0.4096621975621288,-0.48115455617914105,-0.04375748845852358,-0.21465643100495402
Person in group,-0.00685198213331556,0.024979488292971697,-0.06598793883207618,-0.029767459099734227,-0.17498892775429806,-0.19458116484577592,1.0,-0.014963490123395286,-0.0485448352365415,-0.1294392954856596,0.014983515008629465,-0.07317050845583532,-0.026954217874931522,-0.10233200449938566,0.07331501496951486,-0.0026439997379837225,0.26113374423655206,0.10453971370709718,0.09846909379956682,0.46806941200820174,-0.040597654848107054,-0.027910013106819346,-0.014917421023231849
Person standing,0.011781473308797672,0.10368945818295815,0.02014795913344313,-0.06572109390002324,-0.10917064083365564,-0.2088190116404457,-0.014963490123395286,1.0,-0.1214457186030734,-0.1790646510444503,-0.11588516521445283,-0.1822746921019012,0.14110249141334877,-0.27975081414807734,-0.09461723833097081,0.3505101873502986,0.46200719933258594,-0.2790430123113871,-0.1835692932732304,0.8278879677157864,0.4792847969015724,-0.13352447897436262,-0.04667786149195931
Person sitting,-0.06679448233468925,-0.028696155369733373,-0.01978174230080589,-0.0357057140147482,-0.336181829223494,-0.4177078798881643,-0.0485448352365415,-0.1214457186030734,1.0,-0.07430202133479526,-0.24348861416244358,-0.04178844725850646,-0.12522677776845534,-0.06210327851738683,-0.040814733394716425,-0.06902235551873397,-0.07842380675543296,-0.10602799905350836,-0.15616399601458522,-0.0885960747674262,0.7249188799976518,-0.3060641661061716,-0.2781580222178327
Water,-0.10755382766666169,-0.07335104009601587,-0.14715740539269676,-0.08515672142950882,0.30732132933617395,0.048630939139595944,-0.1294392954856596,-0.1790646510444503,-0.07430202133479526,1.0,0.19896952693604897,-0.12416182200240591,-0.20235547573193818,-0.158467899291235,-0.0480131795453639,-0.06692340847102943,-0.2068778071426246,-0.10647826150492776,0.05040142447795336,-0.20095812239131344,-0.13487995070362188,0.25789306617789537,0.44360482759108216
Trees with columnar shape,0.14075069301231952,0.2008605481043841,0.03265861690797527,-0.08375058008262316,0.1880245243551791,-0.1354364535308604,0.014983515008629465,-0.11588516521445283,-0.24348861416244358,0.19896952693604897,1.0,-0.14336809588509308,-0.6380841325061686,-0.35739369781837826,-0.08097422897174328,-0.17089343479305116,-0.35097290488917215,0.03923989624028545,0.7670829088062802,-0.1184753080585492,-0.34636357218168806,0.9720860589320865,0.869216569714008
Autos,-0.09979184711923539,-0.04326061379412138,0.09226154913766493,-0.04276951953126725,-0.12323527324740256,0.22597068735493842,-0.07317050845583532,-0.1822746921019012,-0.04178844725850646,-0.12416182200240591,-0.14336809588509308,1.0,0.055875960288601506,0.34322664957547055,-0.06422527034597006,-0.04824936505093255,-0.11969783133427683,-0.12572512681054634,-0.14476587036427038,-0.16482871354447662,-0.1728062070089957,-0.1623656548861356,-0.2000999932909234
Sky,-0.18890354840591705,-0.13686868886393716,0.08348910043294537,-0.03758802399415232,-0.1462075102651051,0.19722621391683354,-0.026954217874931522,0.14110249141334877,-0.12522677776845534,-0.20235547573193818,-0.6380841325061686,0.055875960288601506,1.0,0.10236682341600742,-0.08076360185408608,-0.08121961819192182,0.29052788910392957,-0.006938833493206013,-0.522883627232598,0.07248640663461135,-0.06458055337656839,-0.6265391384350526,-0.6550696329795368
Palm trees,-0.10677982445703363,-0.05677788657604931,-0.0972842763165775,-0.07145889598716508,-0.15169295503561048,0.3104142139482571,-0.10233200449938566,-0.27975081414807734,-0.06210327851738683,-0.158467899291235,-0.35739369781837826,0.34322664957547055,0.10236682341600742,1.0,-0.03558270179081392,-0.10549192624799797,-0.10192309594070265,0.20683395238019028,-0.08231695750133658,-0.2497370565575663,-0.2536910614223486,-0.3676018440622783,-0.3789539883554184
Sunshade,-0.01210370122977069,-0.031168171303938993,-0.07501158799559064,-0.014689138555044659,-0.10333961606903179,-0.07838523536327224,0.07331501496951486,-0.09461723833097081,-0.040814733394716425,-0.0480131795453639,-0.08097422897174328,-0.06422527034597006,-0.08076360185408608,-0.03558270179081392,1.0,0.07995813418852252,0.09582725789847205,0.35038232675061975,0.08814921082488525,-0.010765714058249682,-0.04823474558921579,-0.09976316832595655,-0.007453452043641159
merge_E_H_N,-0.09921957924673208,-0.06489189622994047,-0.018726459120260056,0.021494300779218926,-0.2107183359880724,-0.15636455335213534,-0.0026439997379837225,0.3505101873502986,-0.06902235551873397,-0.06692340847102943,-0.17089343479305116,-0.04824936505093255,-0.08121961819192182,-0.10549192624799797,0.07995813418852252,1.0,0.1394085068922445,-0.15590631685535505,-0.16851828897119284,0.3600280679272709,0.43464724685012357,-0.20878473116460058,0.2266083512728261
merge_B_C_D_,0.04486260593851112,-0.01451557002588784,-0.0359441463091241,-0.00908819606281347,-0.08524665951332952,-0.23996940760006857,0.26113374423655206,0.46200719933258594,-0.07842380675543296,-0.2068778071426246,-0.35097290488917215,-0.11969783133427683,0.29052788910392957,-0.10192309594070265,0.09582725789847205,0.1394085068922445,1.0,0.06808135627442216,-0.22189489201444054,0.6083799504559775,0.3203697347059647,-0.34577563844391923,-0.3041522266036447
Wall_pixels,-0.18896601138669433,-0.06913615992514384,0.2342306308182102,0.06369885787778713,-0.24404887295377395,-0.3616230713878043,0.10453971370709718,-0.2790430123113871,-0.10602799905350836,-0.10647826150492776,0.03923989624028545,-0.12572512681054634,-0.006938833493206013,0.20683395238019028,0.35038232675061975,-0.15590631685535505,0.06808135627442216,1.0,0.5521911253603519,-0.11168175824204099,-0.3006911381373211,-0.021917632539616382,0.06431527069082359
Enclosure,0.015671115760814192,0.22448508780269627,0.1324382272143407,0.082348893859514,-0.09386731853972193,-0.4660532033069528,0.09846909379956682,-0.1835692932732304,-0.15616399601458522,0.05040142447795336,0.7670829088062802,-0.14476587036427038,-0.522883627232598,-0.08231695750133658,0.08814921082488525,-0.16851828897119284,-0.22189489201444054,0.5521911253603519,1.0,-0.057676393839086675,-0.33057987655322274,0.6887925667996191,0.6862475254461295
Walking_index,0.0101509007334706,0.1244779472821321,0.04611171686529157,-0.03813395201617397,-0.2003360312444258,-0.4096621975621288,0.46806941200820174,0.8278879677157864,-0.0885960747674262,-0.20095812239131344,-0.1184753080585492,-0.16482871354447662,0.07248640663461135,-0.2497370565575663,-0.010765714058249682,0.3600280679272709,0.6083799504559775,-0.11168175824204099,-0.057676393839086675,1.0,0.44973909501781983,-0.15770404900788362,-0.030342004724323527
Human_Scale,-0.05547833320510751,-0.023239436466267773,-0.05279031552320104,-0.03335739588236083,-0.2306117255166043,-0.48115455617914105,-0.040597654848107054,0.4792847969015724,0.7249188799976518,-0.13487995070362188,-0.34636357218168806,-0.1728062070089957,-0.06458055337656839,-0.2536910614223486,-0.04823474558921579,0.43464724685012357,0.3203697347059647,-0.3006911381373211,-0.33057987655322274,0.44973909501781983,1.0,-0.37622757590544526,-0.20194730876023428
Greeness,0.16888005231029743,0.17151106435536137,-0.00542711383036553,-0.05670000502925455,0.41321591415525544,-0.04375748845852358,-0.027910013106819346,-0.13352447897436262,-0.3060641661061716,0.25789306617789537,0.9720860589320865,-0.1623656548861356,-0.6265391384350526,-0.3676018440622783,-0.09976316832595655,-0.20878473116460058,-0.34577563844391923,-0.021917632539616382,0.6887925667996191,-0.15770404900788362,-0.37622757590544526,1.0,0.8395540448979277
Imageability,0.026716655911303087,0.11670347397129895,0.004923869588749378,-0.08254517698341755,0.14083211541113194,-0.21465643100495402,-0.014917421023231849,-0.04667786149195931,-0.2781580222178327,0.44360482759108216,0.869216569714008,-0.2000999932909234,-0.6550696329795368,-0.3789539883554184,-0.007453452043641159,0.2266083512728261,-0.3041522266036447,0.06431527069082359,0.6862475254461295,-0.030342004724323527,-0.20194730876023428,0.8395540448979277,1.0
